MSSV,Họ,Tên,Lớp,Điểm
N22DCPT013,Cao,Huyền Trang,D22CQIS03,9.4
N22DCPT014,Mai,Quang Dũng,D22CQTE02,6.6
N22DCPT015,Lý,Phương Anh,D22CQPM03,8.8
N22DCPT016,Dương,Hải Nam,D22CQIT02,7.4
N22DCPT017,Trịnh,Bảo Trân,D22CQIS01,9.0
N22DCPT018,Hồ,Văn Thịnh,D22CQTE01,7.2
N22DCPT019,Lâm,Quỳnh Như,D22CQPM02,8.6
N22DCPT020,Đinh,Thành Công,D22CQIT03,6.8
N22DCPT021,Nguyễn,Hương Ly,D22CQIS02,9.3
N22DCPT022,Trần,Đức Anh,D22CQTE03,7.0
N22DCPT023,Lê,Thúy Hằng,D22CQPM01,8.2
N22DCPT024,Phạm,Minh Tú,D22CQIT01,7.9
N22DCPT025,Võ,Diệu Hương,D22CQIS03,8.7
N22DCPT026,Đỗ,Tấn Lộc,D22CQTE02,6.5
N22DCPT027,Huỳnh,Ngọc Diễm,D22CQPM03,8.1
N22DCPT028,Ngô,Hoàng Phúc,D22CQIT02,7.7
N22DCPT029,Đặng,Thu Hương,D22CQIS01,9.5
N22DCPT030,Bùi,Văn Thọ,D22CQTE01,6.9
N22DCPT031,Trương,Bảo Ngọc,D22CQPM02,8.0
N22DCPT032,Vũ,Thế Anh,D22CQIT03,7.6
N22DCPT033,Cao,Mỹ Linh,D22CQIS02,9.1
N22DCPT034,Mai,Hoàng Khôi,D22CQTE03,6.3
N22DCPT035,Lý,Thảo Nguyên,D22CQPM01,8.9
N22DCPT036,Dương,Đức Thịnh,D22CQIT01,7.1
N22DCPT037,Trịnh,Hạnh Phương,D22CQIS03,8.8
N22DCPT038,Hồ,Minh Quân,D22CQTE02,7.4
N22DCPT039,Lâm,Diễm My,D22CQPM03,8.5
N22DCPT040,Đinh,Quốc Thái,D22CQIT02,6.7
N22DCPT041,Nguyễn,Thùy Dung,D22CQIS01,9.2
N22DCPT042,Trần,Hữu Đức,D22CQTE01,7.3
N22DCPT043,Lê,Ngọc Yến,D22CQPM02,8.4
N22DCPT044,Phạm,Tấn Phước,D22CQIT03,7.8
N22DCPT045,Võ,Thu Hà,D22CQIS02,9.0
N22DCPT046,Đỗ,Minh Đức,D22CQTE03,6.6
N22DCPT047,Huỳnh,Kiều Trinh,D22CQPM01,8.2
N22DCPT048,Ngô,Đình Phúc,D22CQIT01,7.5
N22DCPT049,Đặng,Bích Ngọc,D22CQIS03,9.4
N22DCPT050,Bùi,Thành Nam,D22CQTE02,6.8
N22DCPT051,Trương,Hương Giang,D22CQPM03,8.6
N22DCPT052,Vũ,Quang Hải,D22CQIT02,7.2
N22DCPT053,Cao,Lan Anh,D22CQIS01,9.1
N22DCPT054,Mai,Đức Minh,D22CQTE01,7.0
N22DCPT055,Lý,Yến Nhi,D22CQPM02,8.3
N22DCPT056,Dương,Thành Luân,D22CQIT03,6.9
N22DCPT057,Trịnh,Phương Thảo,D22CQIS02,8.9
N22DCPT058,Hồ,Hữu Tài,D22CQTE03,7.7
N22DCPT059,Lâm,Thanh Huyền,D22CQPM01,8.1
N22DCPT060,Đinh,Bảo Châu,D22CQIT01,7.4
N22DCPT061,Nguyễn,Diễm Quỳnh,D22CQIS03,9.3
N22DCPT062,Trần,Văn Minh,D22CQTE02,6.5
N22DCPT063,Lê,Thu Phương,D22CQPM03,8.8
N22DCPT064,Phạm,Quốc Huy,D22CQIT02,7.6
N22DCPT065,Võ,Hạnh Chi,D22CQIS01,9.2
N22DCPT066,Đỗ,Minh Tâm,D22CQTE01,6.8
N22DCPT067,Huỳnh,Thảo Ly,D22CQPM02,8.0
N22DCPT068,Ngô,Đức Trung,D22CQIT03,7.3
N22DCPT069,Đặng,Mai Phương,D22CQIS02,9.0
N22DCPT070,Bùi,Quang Minh,D22CQTE03,7.1
N22DCPT071,Trương,Ngọc Hân,D22CQPM01,8.5
N22DCPT072,Vũ,Thiên Ân,D22CQIT01,6.7
N22DCPT073,Cao,Diệu Thúy,D22CQIS03,9.4
N22DCPT074,Mai,Tấn Dũng,D22CQTE02,7.8
N22DCPT075,Lý,Hồng Nhung,D22CQPM03,8.2
N22DCPT076,Dương,Việt Anh,D22CQIT02,7.0
N22DCPT077,Trịnh,Thúy Hạnh,D22CQIS01,8.7
N22DCPT078,Hồ,Đăng Khoa,D22CQTE01,6.9
N22DCPT079,Lâm,Quỳnh Anh,D22CQPM02,8.4
N22DCPT080,Đinh,Thành Đạt,D22CQIT03,7.5
N22DCPT081,Nguyễn,Thúy Nga,D22CQIS02,9.1
N22DCPT082,Trần,Hữu Nghĩa,D22CQTE03,6.6
N22DCPT083,Lê,Bảo Châu,D22CQPM01,8.6
N22DCPT084,Phạm,Minh Hùng,D22CQIT01,7.9
N22DCPT085,Võ,Thanh Thảo,D22CQIS03,8.8
N22DCPT086,Đỗ,Quang Thắng,D22CQTE02,7.2
N22DCPT087,Huỳnh,Ngọc Linh,D22CQPM03,8.3
N22DCPT088,Ngô,Hoàng Việt,D22CQIT02,6.8
N22DCPT089,Đặng,Huyền Trang,D22CQIS01,9.3
N22DCPT090,Bùi,Đức Thọ,D22CQTE01,7.4
N22DCPT091,Trương,Phương Linh,D22CQPM02,8.1
N22DCPT092,Vũ,Tấn Thành,D22CQIT03,7.7
N22DCPT093,Cao,Mỹ Duyên,D22CQIS02,9.2
N22DCPT094,Mai,Công Minh,D22CQTE03,6.4
N22DCPT095,Lý,Thu Hằng,D22CQPM01,8.9
N22DCPT096,Dương,Hạnh Phúc,D22CQIT01,7.1
N22DCPT097,Trịnh,Kiều Oanh,D22CQIS03,8.8
N22DCPT098,Hồ,Minh Tuấn,D22CQTE02,7.6
N22DCPT099,Lâm,Diệu Hồng,D22CQPM03,8.5
N22DCPT100,Đinh,Quốc Bảo,D22CQIT02,6.7
N23DCPT001,Nguyễn,Thảo Vy,D23CQPM01,8.9
N23DCPT002,Trần,Quang Đức,D23CQIT02,7.3
N23DCPT003,Lê,Hằng Nga,D23CQIS01,9.2
N23DCPT004,Phạm,Tấn Hưng,D23CQTE03,6.7
N23DCPT005,Võ,Diễm Hương,D23CQPM02,8.4
N23DCPT006,Đỗ,Văn Thành,D23CQIT01,7.8
N23DCPT007,Huỳnh,Bích Thảo,D23CQIS02,9.1
N23DCPT008,Ngô,Minh Khôi,D23CQTE01,8.0
N23DCPT009,Đặng,Thanh Thúy,D23CQPM01,7.5
N23DCPT010,Bùi,Hữu Phước,D23CQIT03,6.9
N23DCPT011,Trương,Ngọc Anh,D23CQPM01,8.3
N23DCPT012,Vũ,Đức Tài,D23CQIT01,7.1
N23DCPT013,Cao,Thúy Kiều,D23CQIS03,9.4
N23DCPT014,Mai,Hoàng Long,D23CQTE02,6.6
N23DCPT015,Lý,Phương Thảo,D23CQPM03,8.8
N23DCPT016,Dương,Quốc Huy,D23CQIT02,7.4
N23DCPT017,Trịnh,Thu Hà,D23CQIS01,9.0
N23DCPT018,Hồ,Tấn Phát,D23CQTE01,7.2
N23DCPT019,Lâm,Bích Ngọc,D23CQPM02,8.6
N23DCPT020,Đinh,Minh Đức,D23CQIT03,6.8
N23DCPT021,Nguyễn,Diệu Linh,D23CQIS02,9.3
N23DCPT022,Trần,Văn Hùng,D23CQTE03,7.0
N23DCPT023,Lê,Thanh Huyền,D23CQPM01,8.2
N23DCPT024,Phạm,Quý Đạt,D23CQIT01,7.9
N23DCPT025,Võ,Hương Thảo,D23CQIS03,8.7
N23DCPT026,Đỗ,Thành Tâm,D23CQTE02,6.5
N23DCPT027,Huỳnh,Lan Phương,D23CQPM03,8.1
N23DCPT028,Ngô,Đình Thành,D23CQIT02,7.7
N23DCPT029,Đặng,Mỹ Hương,D23CQIS01,9.5
N23DCPT030,Bùi,Văn Lộc,D23CQTE01,6.9
N23DCPT031,Trương,Hồng Nhung,D23CQPM02,8.0
N23DCPT032,Vũ,Quang Minh,D23CQIT03,7.6
N23DCPT033,Cao,Thủy Tiên,D23CQIS02,9.1
N23DCPT034,Mai,Đức Huy,D23CQTE03,6.3
N23DCPT035,Lý,Kiều Trang,D23CQPM01,8.9
N23DCPT036,Dương,Thế Vinh,D23CQIT01,7.1
N23DCPT037,Trịnh,Diệu Anh,D23CQIS03,8.8
N23DCPT038,Hồ,Quang Dũng,D23CQTE02,7.4
N23DCPT039,Lâm,Thu Trang,D23CQPM03,8.5
N23DCPT040,Đinh,Hữu Thọ,D23CQIT02,6.7
N23DCPT041,Nguyễn,Phương Anh,D23CQIS01,9.2
N23DCPT042,Trần,Minh Tuấn,D23CQTE01,7.3
N23DCPT043,Lê,Thùy Linh,D23CQPM02,8.4
N23DCPT044,Phạm,Hoàng Nam,D23CQIT03,7.8
N23DCPT045,Võ,Bích Hạnh,D23CQIS02,9.0
N23DCPT046,Đỗ,Tấn Thành,D23CQTE03,6.6
N23DCPT047,Huỳnh,Ngọc Thúy,D23CQPM01,8.2
N23DCPT048,Ngô,Văn Đức,D23CQIT01,7.5
N23DCPT049,Đặng,Hải Yến,D23CQIS03,9.4
N23DCPT050,Bùi,Quang Thắng,D23CQTE02,6.8
N23DCPT051,Trương,Thảo Nguyên,D23CQPM03,8.6
N23DCPT052,Vũ,Hồng Phúc,D23CQIT02,7.2
N23DCPT053,Cao,Mỹ Châu,D23CQIS01,9.1
N23DCPT054,Mai,Thành Đạt,D23CQTE01,7.0
N23DCPT055,Lý,Diễm My,D23CQPM02,8.3
N23DCPT056,Dương,Hữu Đức,D23CQIT03,6.9
N23DCPT057,Trịnh,Thanh Mai,D23CQIS02,8.9
N23DCPT058,Hồ,Quốc Thái,D23CQTE03,7.7
N23DCPT059,Lâm,Hương Lan,D23CQPM01,8.1
N23DCPT060,Đinh,Minh Quang,D23CQIT01,7.4
N23DCPT061,Nguyễn,Thu Hiền,D23CQIS03,9.3
N23DCPT062,Trần,Đức Thắng,D23CQTE02,6.5
N23DCPT063,Lê,Ngọc Diệp,D23CQPM03,8.8
N23DCPT064,Phạm,Tấn Lợi,D23CQIT02,7.6
N23DCPT065,Võ,Thanh Nga,D23CQIS01,9.2
N23DCPT066,Đỗ,Văn Hải,D23CQTE01,6.8
N23DCPT067,Huỳnh,Bảo Trân,D23CQPM02,8.0
N23DCPT068,Ngô,Thành Công,D23CQIT03,7.3
N23DCPT069,Đặng,Kiều Oanh,D23CQIS02,9.0
N23DCPT070,Bùi,Hoàng Phúc,D23CQTE03,7.1
N23DCPT071,Trương,Diệu Thúy,D23CQPM01,8.5
N23DCPT072,Vũ,Quang Khải,D23CQIT01,6.7
N23DCPT073,Cao,Thu Phương,D23CQIS03,9.4
N23DCPT074,Mai,Đức Toàn,D23CQTE02,7.8
N23DCPT075,Lý,Hạnh Chi,D23CQPM03,8.2
N23DCPT076,Dương,Thanh Bình,D23CQIT02,7.0
N23DCPT077,Trịnh,Ngọc Yến,D23CQIS01,8.7
N23DCPT078,Hồ,Minh Hậu,D23CQTE01,6.9
N23DCPT079,Lâm,Thiên Thu,D23CQPM02,8.4
N23DCPT080,Đinh,Quốc Cường,D23CQIT03,7.5
N23DCPT081,Nguyễn,Bích Thảo,D23CQIS02,9.1
N23DCPT082,Trần,Hữu Lộc,D23CQTE03,6.6
N23DCPT083,Lê,Phương Linh,D23CQPM01,8.6
N23DCPT084,Phạm,Quang Tú,D23CQIT01,7.9
N23DCPT085,Võ,Diệu Hằng,D23CQIS03,8.8
N23DCPT086,Đỗ,Thành Luân,D23CQTE02,7.2
N23DCPT087,Huỳnh,Thanh Xuân,D23CQPM03,8.3
N23DCPT088,Ngô,Hồng Sơn,D23CQIT02,6.8
N23DCPT089,Đặng,Mỹ Linh,D23CQIS01,9.3
N23DCPT090,Bùi,Văn Thành,D23CQTE01,7.4
N23DCPT091,Trương,Hương Thảo,D23CQPM02,8.1
N23DCPT092,Vũ,Đức Hiếu,D23CQIT03,7.7
N23DCPT093,Cao,Lan Hương,D23CQIS02,9.2
N23DCPT094,Mai,Hoàng Minh,D23CQTE03,6.4
N23DCPT095,Lý,Thúy Hà,D23CQPM01,8.9
N23DCPT096,Dương,Quý Thắng,D23CQIT01,7.1
N23DCPT097,Trịnh,Diễm Hương,D23CQIS03,8.8
N23DCPT098,Hồ,Tấn Đạt,D23CQTE02,7.6
N23DCPT099,Lâm,Thanh Thảo,D23CQPM03,8.5
N23DCPT100,Đinh,Hữu Khang,D23CQIT02,6.7
N24DCPT001,Nguyễn,Quỳnh Anh,D24CQPM01,8.9
N24DCPT002,Trần,Hữu Thọ,D24CQIT02,7.3
N24DCPT003,Lê,Minh Châu,D24CQIS01,9.2
N24DCPT004,Phạm,Đức Thành,D24CQTE03,6.7
N24DCPT005,Võ,Thu Hương,D24CQPM02,8.4
N24DCPT006,Đỗ,Quang Huy,D24CQIT01,7.8
N24DCPT007,Huỳnh,Ngọc Hân,D24CQIS02,9.1
N24DCPT008,Ngô,Minh Tú,D24CQTE01,8.0
N24DCPT009,Đặng,Hải Yến,D24CQPM01,7.5
N24DCPT010,Bùi,Thành Nam,D24CQIT03,6.9
N24DCPT011,Trương,Diệu Linh,D24CQPM01,8.3
N24DCPT012,Vũ,Hoàng Long,D24CQIT01,7.1
N24DCPT013,Cao,Bích Ngọc,D24CQIS03,9.4
N24DCPT014,Mai,Văn Hưng,D24CQTE02,6.6
N24DCPT015,Lý,Thanh Thúy,D24CQPM03,8.8
N24DCPT016,Dương,Minh Đức,D24CQIT02,7.4
N24DCPT017,Trịnh,Hạnh Phúc,D24CQIS01,9.0
N24DCPT018,Hồ,Quốc Đạt,D24CQTE01,7.2
N24DCPT019,Lâm,Thu Thảo,D24CQPM02,8.6
N24DCPT020,Đinh,Tấn Phước,D24CQIT03,6.8
N24DCPT021,Nguyễn,Mỹ Hạnh,D24CQIS02,9.3
N24DCPT022,Trần,Quang Minh,D24CQTE03,7.0
